BlissRadius,http://blissradius.com
BRCK,http://brck.com
Cabot,http://cabotapp.com/
Freeradius,http://freeradius.org
Netlink Radius,http://netlinkwireless.com
Router Configuration Generator,http://rcg-tool.sourceforge.net/
OLPC XS,http://schoolserver.org/
Wolfpack,http://wolfpack.codeplex.com/
Aradial,http://www.aradial.com
Cadebill,http://www.cadebill.com/
IPPay,http://www.converge-tech.com/
Datatill,http://www.datatill.co.za
Evolynx Radius,http://www.evolynx.com
Hatchconfigs,http://www.hatchconfigs.com/
kBilling,http://www.k-billing.com/
PHP Server Monitor,http://www.phpservermonitor.org/
Cloudy,https://cloudy.community/
Gen-it.net,https://gen-it.net/
check_mk,https://mathias-kettner.de/checkmk.html
Monit,https://mmonit.com/
netdata,https://my-netdata.io/
OpenWRT,https://openwrt.org
Sonar Software,https://sonar.software/
Spotipo,https://spotipo.com/
netcrunch,https://www.adremsoft.com/
BillMax,https://www.billmax.com
DataDog,https://www.datadoghq.com/
Icinga,https://www.icinga.com/
Kamalio,https://www.kamailio.org/w/features/
Op5 Monitor,https://www.op5.com/
opsview atom,https://www.opsview.com/products/opsview-atom
PRTG,https://www.paessler.com/prtg
Pulseway,https://www.pulseway.com/
Spiceworks,https://www.spiceworks.com/
zenoss core,https://www.zenoss.org/
Munin,munin-monitoring.org/
Advantage 360,www.Advantage360.com
Azotel,www.azotel.com
Billmax,www.billmax.com
Cacti,www.cacti.net/
Doorswap,www.doorswap.com
Foster Innovations,www.fosterinnovations.net.com
Freeside,www.freeside.biz
Gensoft Billpro,www.Geneseo.com
Emerald,www.iea-software.com
Platypus ISP Billing,www.ispbilling.com
ITSPtec Solutions,www.itsptec.com
Joomla,www.joomla.org
Kbilling,www.ksoftware.net
Logisense Engage IP,www.logisense.com/
Northland Software,www.northlandsoftware.com
Observium,www.observium.org/
Probooks,www.pcaccountant.com
Powercode,www.powercode.com
Rentec Direct,www.rentecdirect.com
Rodopi,www.rodopi.com
Shinken,www.shinken-monitoring.org/
Skyway Networks,www.skywaynetworks.com
Source One Solutions,www.sourceone-solutions.biz
Echurch Give,www.thepastorscpa.com
TigerPaw,www.tigerpawsoftware.com
UDP,www.UDP.com
VBOS,www.vbosoftware.com
Visp,www.visp.net
WHMCS,www.whmcs.com
Wifi Gator,www.wifigator.com
Wifi Rush,www.wifirush.com
Wispmon,www.wispmon.com
Zabbix,www.zabbix.com
Zen Cart,www.zen-cart.com/
Optigold,
Nagios,
dynatrace ruxit,
uninett nav,
opsview enterprise,
monitis,
portmonitor,
opennms,
snsu core,
mikrotik dude,
Pandora FMS,
coscale,
IT Asset Tool,
Solarwinds,
axibase,
RouterOS,
ZeroShell,
ClearBox,
IPCop,
Smoothwall,
pfSense,
UBNT,
Radiator,
TekRadius,
Elektron,
Asterisk,
FreeSwitch,
Microsoft NPS,
SagePay,
PayFast,
Readynet,
Radius Manager,
Tanaza,
cloud4wi,
Zima,
ringcentral,
aircall,
untangle,
sophos,
sonicwall,
opnsense,
vyatta,
vyos,
ipfire,
endian,
zentyal,
aerohive,
aruba,
net-nanny,
nxfilter,
dansguardian,
freedombox,
BRCK,
librenms,
LEDE,
LiMe,
GRASE,
Gazella,
Wispmon,
swiftfox.net,
cloudy,